Model ID,Status,,Maps,VPO,Method,nTrMols,nTsMols,External Pred,r&sup2; STE,q&sup2;<sub>cv</sub> STE,q&sup2;<sub>ext</sub> STE,Optimal PC STE,r&sup2; ELE,q&sup2;<sub>cv</sub> ELE,q&sup2;<sub>ext</sub> ELE,Optimal PC ELE,r&sup2; SUM,q&sup2;<sub>cv</sub> SUM,q&sup2;<sub>ext</sub> SUM,Optimal PC SUM,r&sup2; COMBINED,q&sup2;<sub>cv</sub> COMBINED,q&sup2;<sub>ext</sub> COMBINED,Optimal PC COMBINED,|,COMBINED CV Score,COMBINED Pred Score,COMBINED Full Score,|,MixedFields CV Score,MixedFields Pred Score,MixedFields Full Score,|,AllFields CV Score,AllFields Pred Score,AllFields Full Score,|,Probe,Probe Charge,Charge Model,Min Sigma,Scaling,Max N Components,Grid Spacing,Grid Extension,Diel Const,CutOff,CutOff (2),# Level,CV Type,CV Groups,CV Iters,CV Random,Min SDEP Increment,SA Opt,SA Ti,SA Tf,SA cool factor,SA Min Vars,Y-Scrambling,Y-S Iterations
205488,completed,Results,Missing,true,TRIPOS,36,6,True,0.331,-0.004,-0.635,1,0.138,-0.105,-0.109,1,0.484,-0.036,-0.839,1,0.467,-0.041,-0.331,1,|,0.306,0.113,0.250,|,0.308,-0.057,0.122,|,0.302,0.014,0.194,|,C.3.H3,1,eem2015bm,0.700,true,8,2.100,7.000,61.000,21.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205490,completed,Results,Missing,true,O3G,36,6,True,0.679,0.113,0.458,2,0.451,0.232,0.445,1,0.972,0.641,-0.146,5,0.499,0.235,0.391,1,|,0.490,0.594,0.599,|,0.625,0.415,0.486,|,0.537,0.525,0.526,|,H.P,1,eem2015hm,0.800,true,8,1.800,7.000,3.000,24.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205494,completed,Results,Missing,true,TRIPOS,36,6,True,0.588,0.106,0.454,2,0.410,-0.296,0.485,2,0.781,0.059,0.743,3,0.790,0.016,0.732,3,|,0.344,0.821,0.498,|,0.358,0.825,0.511,|,0.314,0.723,0.473,|,F,1,eem2015bn,0.300,true,8,2.500,4.000,45.000,15.000,False,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205495,completed,Results,Missing,true,Autogrid,36,6,True,0.639,0.034,-0.084,2,0.604,0.091,0.706,2,0.844,0.389,0.432,3,0.862,0.359,0.846,3,|,0.573,0.897,0.677,|,0.583,0.759,0.651,|,0.479,0.633,0.547,|,O.3,1,mmff94,0.200,true,8,1.500,4.000,30.000,21.000,True,0,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205496,completed,Results,Missing,true,EasyMIF,36,6,True,0.611,0.030,0.254,2,0.468,0.056,0.352,1,0.471,0.004,-0.088,1,0.574,0.058,0.040,1,|,0.372,0.360,0.434,|,0.354,0.317,0.406,|,0.358,0.426,0.444,|,S.o,1,eem2015ba,0.700,true,8,2.100,8.000,4.000,20.000,True,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205498,completed,Results,Missing,true,TRIPOS,36,6,True,0.657,0.104,0.157,2,0.650,0.050,-1.608,1,0.376,0.038,-0.446,1,0.518,0.058,-0.720,1,|,0.372,-0.147,0.063,|,0.365,-0.055,0.142,|,0.375,-0.103,0.087,|,C.3.H2,1,eem,1.000,true,8,1.300,3.000,18.000,6.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205500,completed,Results,Missing,true,TRIPOS,36,6,True,0.276,-0.052,-0.443,1,0.490,-0.264,-0.462,2,0.408,-0.072,-1.090,1,0.690,-0.137,-1.040,2,|,0.242,-0.360,-0.158,|,0.264,-0.377,-0.141,|,0.246,-0.172,0.021,|,Br,1,eem,0.300,true,8,2.800,3.000,10.000,25.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205501,completed,Results,Missing,true,EasyMIF,36,6,True,0.670,0.087,0.014,2,0.495,-0.163,0.289,1,0.522,-0.092,-0.482,1,0.563,-0.051,0.048,1,|,0.299,0.366,0.389,|,0.286,0.189,0.273,|,0.297,0.312,0.335,|,C.3.H1,1,eem2015ha,0.700,true,8,1.400,5.000,31.000,21.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205502,completed,Results,Missing,true,Autogrid,36,6,True,0.000,-0.058,-0.104,1,0.358,0.214,0.507,1,0.238,0.095,0.051,1,0.301,0.181,0.761,2,|,0.454,0.534,0.514,|,0.425,0.451,0.508,|,0.405,0.434,0.509,|,F,1,qeq,0.800,true,8,1.100,8.000,53.000,1.000,False,4,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205505,completed,Results,Missing,true,TRIPOS,36,6,True,0.371,-0.044,-0.216,1,0.359,-0.058,-0.491,1,0.382,-0.036,-0.557,1,0.399,-0.051,-0.501,1,|,0.299,-0.001,0.174,|,0.304,-0.019,0.163,|,0.302,0.039,0.209,|,F,1,eem2015bm,0.900,true,8,1.500,6.000,3.000,30.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205506,completed,Results,Missing,true,EasyMIF,36,6,True,0.353,-0.062,-1.039,1,0.662,0.423,0.631,2,0.835,0.591,0.310,2,0.840,0.592,0.671,2,|,0.728,0.781,0.768,|,0.728,0.660,0.691,|,0.591,0.429,0.500,|,S.o,1,gasteiger,0.300,true,8,2.700,5.000,48.000,19.000,False,1,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205507,completed,Results,Missing,true,O3G,36,6,True,0.680,0.057,0.342,3,0.414,0.209,0.283,1,0.362,0.147,0.257,1,0.446,0.203,0.230,1,|,0.469,0.487,0.566,|,0.450,0.496,0.561,|,0.436,0.519,0.544,|,H.P,1,mmff94,0.500,true,8,2.900,5.000,10.000,19.000,True,3,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
205508,completed,Results,Missing,true,O3G,36,6,True,0.536,-0.028,0.465,2,0.499,0.298,0.718,1,0.749,0.410,0.828,2,0.748,0.361,0.670,2,|,0.574,0.780,0.667,|,0.590,0.807,0.680,|,0.507,0.731,0.611,|,F,1,eem2015bm,0.900,true,8,3.300,8.000,12.000,15.000,False,2,LOO,5,10,True,0.05,False,100,0.001,0.999,50,True,10
